nquest,NCOMP,nord,sex,anasc,staciv,ireg,PERC
811952,1,1,2,1984,2,7,1
811991,1,1,2,1939,4,14,1
812006,1,1,1,1962,2,14,1
812015,3,1,2,1961,3,14,1
812015,3,2,2,2000,2,14,0
812015,3,3,2,1999,2,14,0
812035,2,1,2,1939,1,14,1
812035,2,2,1,1934,1,14,1
812043,1,1,1,1948,3,14,1
812628,2,1,1,1950,1,16,1
812628,2,2,2,1954,1,16,1
812794,3,1,1,1976,1,19,1
812794,3,2,2,1976,1,19,1
812794,3,3,2,2009,2,19,0
812849,3,1,2,1937,1,17,0
812849,3,2,1,1932,1,17,1
812849,3,3,1,1968,2,17,1
812896,1,1,1,1985,1,3,1
813109,2,1,1,1954,1,9,1
813109,2,2,2,1955,1,9,1
813135,4,1,2,1971,1,8,0
813135,4,2,1,1962,1,8,1
813135,4,3,1,1995,2,8,0
813135,4,4,2,1940,4,8,1
813141,1,1,2,1925,4,8,1
813246,1,1,2,1945,4,20,1
813283,2,1,2,1941,1,11,1
813283,2,2,1,1938,1,11,1
813298,4,1,2,1971,1,11,1
813298,4,2,1,1965,1,11,1
813298,4,3,2,2002,2,11,0
813298,4,4,1,2002,2,11,0
813323,1,1,2,1927,4,11,1
813349,2,1,1,1956,1,10,1
813349,2,2,2,1957,1,10,0
813379,2,1,2,1960,4,10,1
813379,2,2,2,1924,4,10,1
813493,2,1,1,1943,1,12,1
813493,2,2,2,1950,1,12,0
813513,3,1,2,1972,1,12,1
813513,3,2,1,1964,1,12,1
813513,3,3,1,2004,2,12,0
813686,2,1,1,1940,1,9,1
813686,2,2,2,1942,1,9,0
813713,1,1,1,1945,3,17,1
813729,3,1,1,1931,1,17,1
813729,3,2,2,1939,1,17,0
813729,3,3,2,1967,2,17,0
813818,1,1,1,1944,2,19,1
813912,5,1,2,1976,1,4,1
813912,5,2,1,1961,1,4,1
813912,5,3,1,1930,4,4,1
813912,5,4,1,1994,2,4,0
813912,5,5,1,1998,2,4,0
813932,1,1,2,1969,3,4,1
813952,4,1,1,1977,1,4,1
813952,4,2,2,1978,1,4,1
813952,4,3,2,2009,2,4,0
813952,4,4,1,2010,2,4,0
814027,1,1,2,1946,4,19,1
814098,1,1,1,1965,2,3,1
814103,2,1,1,1952,1,3,1
814103,2,2,2,1955,1,3,0
814136,2,1,1,1953,1,3,0
814136,2,2,2,1947,1,3,1
814466,1,1,2,1948,4,3,1
814532,2,1,1,1937,1,3,1
814532,2,2,2,1941,1,3,1
814546,1,1,1,1939,2,3,1
814586,2,1,1,1953,1,3,0
814586,2,2,2,1950,1,3,1
814735,4,1,1,1967,1,19,1
814735,4,2,2,1965,1,19,0
814735,4,3,1,1990,2,19,0
814735,4,4,1,1996,2,19,0
814738,4,1,1,1969,1,19,0
814738,4,2,2,1977,1,19,1
814738,4,3,2,2000,2,19,1
814738,4,4,1,2007,2,19,0
814889,4,1,2,1976,1,16,1
814889,4,2,1,1974,1,16,1
814889,4,3,1,2009,2,16,0
814889,4,4,2,2014,2,16,0
815135,2,1,1,1929,1,16,1
815135,2,2,2,1939,1,16,0
815136,3,1,1,1947,1,16,1
815136,3,2,2,1947,1,16,0
815136,3,3,2,1926,4,16,0
815192,4,1,2,1972,1,16,1
815192,4,2,1,1968,1,16,1
815192,4,3,1,1998,2,16,0
815192,4,4,2,2005,2,16,0
815291,3,1,2,1961,1,11,1
815291,3,2,1,1955,1,11,1
815291,3,3,1,1991,2,11,0
815403,2,1,2,1957,3,9,1
815403,2,2,2,1925,4,9,1
815411,2,1,1,1938,1,9,1
815411,2,2,2,1948,1,9,1
815415,1,1,1,1945,2,9,1
815416,2,1,1,1948,1,9,1
815416,2,2,2,1951,1,9,1
815465,2,1,1,1947,1,18,1
815465,2,2,2,1947,1,18,1
815511,1,1,2,1930,4,11,1
815523,1,1,2,1960,2,11,1
815896,2,1,1,1935,1,10,1
815896,2,2,2,1937,1,10,1
815960,4,1,1,1960,1,3,1
815960,4,2,2,1967,1,3,1
815960,4,3,1,1991,2,3,1
815960,4,4,2,1997,2,3,0
816001,3,1,2,1942,1,3,1
816001,3,2,1,1940,1,3,1
816001,3,3,2,1969,2,3,1
816029,2,1,2,1942,1,4,1
816029,2,2,1,1939,1,4,1
816139,1,1,1,1973,2,15,1
816196,1,1,2,1964,2,15,1
816249,5,1,1,1950,4,15,1
816249,5,2,2,1985,1,15,0
816249,5,3,1,1979,1,15,1
816249,5,4,2,2011,2,15,0
816249,5,5,2,2014,2,15,0
816383,4,1,2,1955,4,15,0
816383,4,2,1,1987,2,15,1
816383,4,3,2,1992,2,15,0
816383,4,4,1,2016,2,15,0
816433,3,1,2,1958,1,15,0
816433,3,2,1,1958,1,15,1
816433,3,3,1,1985,2,15,1
816585,3,1,2,1972,2,15,1
816585,3,2,2,1947,4,15,0
816585,3,3,1,1982,2,15,0
816781,1,1,2,1915,4,1,1
816816,1,1,1,1940,2,5,1
816827,3,1,1,1956,1,5,1
816827,3,2,2,1966,1,5,1
816827,3,3,1,1999,2,5,0
816839,3,1,2,1955,1,5,1
816839,3,2,1,1941,1,5,1
816839,3,3,1,1986,2,5,1
816847,4,1,1,1956,1,5,1
816847,4,2,2,1960,1,5,1
816847,4,3,1,1990,2,5,1
816847,4,4,1,1994,2,5,1
816897,4,1,2,1966,1,15,0
816897,4,2,1,1965,1,15,1
816897,4,3,1,1988,2,15,1
816897,4,4,2,1994,2,15,0
816919,3,1,2,1966,1,15,0
816919,3,2,1,1962,1,15,1
816919,3,3,1,1990,2,15,1
817160,3,1,1,1955,1,20,0
817160,3,2,2,1956,1,20,1
817160,3,3,1,1980,2,20,0
817180,4,1,1,1960,1,20,1
817180,4,2,2,1962,1,20,0
817180,4,3,1,1987,2,20,1
817180,4,4,2,2004,2,20,0
817204,2,1,2,1938,1,20,0
817204,2,2,1,1934,1,20,1
817276,1,1,1,1948,2,3,1
817402,3,1,2,1958,1,13,1
817402,3,2,1,1953,1,13,1
817402,3,3,1,1996,2,13,0
817480,2,1,2,1949,1,11,1
817480,2,2,1,1942,1,11,1
817487,3,1,2,1939,1,11,1
817487,3,2,1,1933,1,11,1
817487,3,3,2,1965,2,11,1
817675,1,1,1,1978,1,15,1
817742,6,1,1,1967,1,15,0
817742,6,2,2,1967,1,15,1
817742,6,3,2,1996,2,15,0
817742,6,4,1,1989,2,15,0
817742,6,5,2,1993,2,15,0
817742,6,6,1,2016,2,15,0
817747,1,1,2,1930,4,19,1
817749,1,1,2,1935,4,19,1
817842,5,1,2,1968,3,19,0
817842,5,2,1,2006,2,19,0
817842,5,3,2,1941,4,19,1
817842,5,4,1,1971,2,19,0
817842,5,5,1,1973,2,19,0
817905,4,1,1,1969,1,19,1
817905,4,2,2,1970,1,19,1
817905,4,3,2,2000,2,19,0
817905,4,4,2,2005,2,19,0
817967,3,1,1,1973,1,19,1
817967,3,2,2,1977,1,19,1
817967,3,3,2,2003,2,19,0
818057,3,1,2,1971,1,19,1
818057,3,2,1,1977,1,19,0
818057,3,3,2,2003,2,19,0
818064,2,1,1,1950,1,19,1
818064,2,2,2,1955,1,19,0
818290,4,1,2,1959,1,19,0
818290,4,2,1,1958,1,19,1
818290,4,3,2,1983,2,19,1
818290,4,4,2,1991,2,19,0
818345,3,1,1,1950,1,6,1
818345,3,2,2,1952,1,6,1
818345,3,3,1,1989,2,6,1
818425,2,1,1,1938,4,10,1
818425,2,2,2,1945,2,10,1
818426,2,1,1,1938,4,10,1
818426,2,2,1,1969,2,10,0
818640,5,1,1,1952,1,19,1
818640,5,2,2,1958,1,19,0
818640,5,3,2,1983,1,19,0
818640,5,4,1,1979,1,19,1
818640,5,5,2,2013,2,19,0
819010,2,1,2,1964,3,8,1
819010,2,2,2,1984,3,8,1
819031,1,1,1,1943,4,8,1
819125,2,1,2,1955,3,17,1
819125,2,2,2,1984,2,17,0
819127,2,1,1,1935,1,17,1
819127,2,2,2,1940,1,17,1
819156,1,1,2,1931,3,17,1
819168,2,1,2,1939,1,17,0
819168,2,2,1,1936,1,17,1
819330,2,1,1,1955,1,9,1
819330,2,2,2,1956,1,9,0
819350,3,1,2,1955,1,9,1
819350,3,2,1,1953,1,9,1
819350,3,3,2,1932,4,9,1
819433,1,1,2,1953,4,16,1
819517,3,1,1,1979,1,12,1
819517,3,2,2,1981,1,12,1
819517,3,3,2,2014,2,12,1
819575,5,1,1,1972,1,9,1
819575,5,2,2,1971,1,9,0
819575,5,3,2,1947,3,9,1
819575,5,4,1,2008,2,9,0
819575,5,5,1,2014,2,9,0
819626,2,1,1,1939,1,5,1
819626,2,2,2,1939,1,5,1
819653,2,1,1,1949,1,5,1
819653,2,2,2,1948,1,5,1
819664,1,1,2,1943,4,5,1
819693,5,1,1,1970,1,5,1
819693,5,2,2,1975,1,5,1
819693,5,3,1,1998,2,5,0
819693,5,4,1,2000,2,5,0
819693,5,5,2,2003,2,5,0
819831,4,1,1,1958,1,15,1
819831,4,2,2,1959,1,15,0
819831,4,3,1,1986,2,15,0
819831,4,4,2,1993,2,15,0
819972,2,1,1,1950,1,17,1
819972,2,2,2,1955,1,17,1
820115,2,1,2,1966,4,15,1
820115,2,2,1,2000,2,15,0
820171,3,1,1,1948,1,15,1
820171,3,2,2,1968,1,15,0
820171,3,3,1,1997,2,15,0
820465,3,1,1,1934,1,18,1
820465,3,2,2,1940,1,18,1
820465,3,3,2,1969,2,18,1
820606,2,1,2,1958,1,3,0
820606,2,2,1,1956,1,3,1
820675,4,1,1,1955,1,14,1
820675,4,2,2,1958,1,14,0
820675,4,3,2,1986,2,14,0
820675,4,4,2,1987,2,14,0
820697,4,1,1,1966,1,14,1
820697,4,2,2,1974,1,14,1
820697,4,3,2,2006,2,14,0
820697,4,4,2,2008,2,14,0
820707,3,1,1,1962,1,14,1
820707,3,2,2,1962,1,14,0
820707,3,3,1,1990,2,14,1
820718,1,1,1,1937,4,14,1
820847,3,1,1,1958,1,8,1
820847,3,2,2,1961,1,8,1
820847,3,3,2,1991,2,8,0
820966,2,1,2,1972,3,4,1
820966,2,2,2,2002,2,4,1
821008,3,1,1,1964,1,4,1
821008,3,2,2,1973,1,4,0
821008,3,3,1,2003,2,4,0
821020,4,1,1,1972,1,4,1
821020,4,2,2,1975,1,4,0
821020,4,3,1,2009,2,4,0
821020,4,4,1,2014,2,4,0
821170,2,1,1,1928,1,12,1
821170,2,2,2,1939,1,12,1
821350,4,1,1,1967,1,12,1
821350,4,2,2,1971,1,12,1
821350,4,3,1,1997,2,12,0
821350,4,4,1,2004,2,12,0
821387,1,1,2,1929,4,12,1
821489,1,1,2,1931,4,12,1
821713,1,1,2,1946,4,5,1
821727,5,1,1,1960,1,5,1
821727,5,2,2,1963,1,5,0
821727,5,3,2,1993,2,5,0
821727,5,4,1,1994,2,5,0
821727,5,5,1,1998,2,5,1
821770,1,1,2,1931,4,5,1
821789,2,1,2,1948,1,5,1
821789,2,2,1,1942,1,5,1
821841,3,1,1,1968,1,16,1
821841,3,2,2,1975,1,16,1
821841,3,3,1,2004,2,16,0
821844,1,1,1,1958,2,16,1
821854,2,1,1,1944,1,16,1
821854,2,2,2,1942,1,16,1
822033,2,1,1,1939,1,8,1
822033,2,2,2,1939,1,8,1
822191,4,1,2,1964,1,7,0
822191,4,2,1,1965,1,7,1
822191,4,3,1,1994,2,7,0
822191,4,4,1,1998,2,7,0
822266,3,1,2,1938,1,11,1
822266,3,2,1,1932,1,11,1
822266,3,3,2,1964,2,11,1
822398,2,1,1,1948,1,11,1
822398,2,2,2,1952,1,11,1
822408,3,1,1,1944,1,11,1
822408,3,2,2,1949,1,11,1
822408,3,3,2,1973,2,11,1
822497,1,1,2,1973,2,5,1
822530,2,1,2,1960,3,5,0
822530,2,2,1,1984,2,5,1
822826,3,1,1,1979,1,5,1
822826,3,2,2,1983,1,5,1
822826,3,3,1,2010,2,5,0
823046,2,1,1,1953,1,16,1
823046,2,2,2,1959,1,16,0
823053,1,1,2,1939,4,16,1
823250,4,1,1,1958,1,7,1
823250,4,2,2,1966,1,7,1
823250,4,3,2,1989,2,7,1
823250,4,4,1,1995,2,7,1
823258,4,1,2,1961,1,20,0
823258,4,2,1,1963,1,20,1
823258,4,3,2,1996,2,20,0
823258,4,4,1,2002,2,20,0
823338,3,1,1,1939,1,8,1
823338,3,2,2,1940,1,8,1
823338,3,3,2,1969,2,8,0
823488,4,1,1,1953,1,15,1
823488,4,2,2,1949,1,15,0
823488,4,3,1,1978,2,15,1
823488,4,4,1,1988,2,15,1
823506,7,1,1,1960,1,15,1
823506,7,2,2,1962,1,15,0
823506,7,3,1,1993,2,15,0
823506,7,4,1,1994,2,15,0
823506,7,5,1,1998,2,15,0
823506,7,6,1,1998,2,15,0
823506,7,7,1,1999,2,15,0
823524,2,1,1,1947,1,15,1
823524,2,2,2,1954,1,15,0
823767,3,1,1,1961,4,19,1
823767,3,2,2,1992,2,19,0
823767,3,3,1,1996,2,19,0
823963,4,1,1,1962,1,9,1
823963,4,2,2,1964,1,9,1
823963,4,3,2,1990,2,9,0
823963,4,4,1,1994,2,9,0
823993,1,1,1,1938,4,9,1
824236,1,1,2,1947,3,20,1
824302,1,1,2,1942,2,20,1
824338,2,1,1,1954,2,3,1
824338,2,2,2,1927,4,3,1
824574,1,1,2,1971,2,18,1
824637,2,1,1,1938,1,13,1
824637,2,2,2,1935,1,13,1
824724,3,1,1,1942,1,13,1
824724,3,2,2,1954,1,13,1
824724,3,3,1,1975,2,13,1
824730,1,1,2,1936,4,13,1
824734,3,1,2,1951,4,13,1
824734,3,2,2,1980,2,13,0
824734,3,3,1,1982,2,13,0
824735,1,1,1,1963,2,13,1
824808,3,1,1,1963,1,16,1
824808,3,2,2,1972,1,16,1
824808,3,3,1,2002,2,16,0
824824,4,1,1,1972,1,16,1
824824,4,2,2,1976,1,16,0
824824,4,3,2,2007,2,16,0
824824,4,4,1,2008,2,16,0
824887,3,1,1,1939,4,14,1
824887,3,2,2,1940,2,14,1
824887,3,3,1,1965,2,14,1
824891,2,1,2,1947,4,14,1
824891,2,2,2,1959,1,14,1
825078,3,1,2,1966,1,3,1
825078,3,2,1,1960,1,3,1
825078,3,3,2,2005,2,3,0
825172,2,1,2,1970,3,12,1
825172,2,2,2,2001,2,12,0
825184,2,1,1,1932,1,12,1
825184,2,2,2,1935,1,12,0
825849,1,1,2,1930,4,15,1
825889,3,1,2,1965,1,1,0
825889,3,2,1,1964,1,1,1
825889,3,3,2,2007,2,1,0
825977,3,1,2,1986,2,16,0
825977,3,2,1,1952,1,16,1
825977,3,3,2,1955,1,16,1
826006,3,1,2,1959,1,16,0
826006,3,2,1,1955,1,16,1
826006,3,3,2,1984,2,16,1
826115,3,1,1,1950,1,5,1
826115,3,2,2,1955,1,5,0
826115,3,3,1,1990,2,5,1
826118,2,1,1,1982,1,5,1
826118,2,2,2,1984,1,5,1
826132,1,1,2,1923,4,5,1
826234,2,1,2,1972,4,5,1
826234,2,2,2,1999,2,5,0
826242,1,1,1,1970,1,5,1
826248,2,1,1,1939,1,5,1
826248,2,2,2,1945,1,5,1
826266,2,1,1,1934,1,5,1
826266,2,2,2,1937,1,5,1
826307,1,1,1,1935,4,3,1
826347,1,1,1,1970,2,3,1
826362,4,1,2,1943,4,20,1
826362,4,2,1,1966,2,20,0
826362,4,3,1,1969,2,20,1
826362,4,4,2,1975,2,20,1
826427,1,1,1,1941,2,20,1
826456,4,1,1,1966,1,6,1
826456,4,2,2,1972,1,6,1
826456,4,3,1,2009,2,6,0
826456,4,4,2,2006,2,6,0
826565,1,1,1,1934,4,1,1
826687,3,1,1,1943,1,7,1
826687,3,2,2,1949,1,7,1
826687,3,3,2,1927,4,7,1
826744,4,1,1,1962,1,3,1
826744,4,2,2,1967,1,3,1
826744,4,3,2,1990,2,3,1
826744,4,4,1,1996,2,3,1
827006,1,1,2,1948,4,5,1
827036,1,1,2,1970,2,5,1
827146,1,1,2,1953,4,18,1
827188,3,1,1,1950,1,18,1
827188,3,2,2,1956,1,18,0
827188,3,3,1,1989,2,18,0
827386,1,1,2,1944,4,3,1
827447,1,1,2,1945,3,4,1
827457,4,1,1,1971,1,4,1
827457,4,2,2,1975,1,4,1
827457,4,3,2,2005,2,4,0
827457,4,4,1,2015,2,4,0
827578,1,1,2,1941,2,20,1
827615,3,1,1,1969,4,20,1
827615,3,2,2,2001,2,20,0
827615,3,3,2,2005,2,20,0
827639,2,1,2,1939,4,9,1
827639,2,2,1,1969,2,9,1
827647,2,1,1,1948,1,9,1
827647,2,2,2,1953,1,9,1
827847,2,1,1,1942,1,19,1
827847,2,2,2,1949,1,19,1
828121,1,1,2,1939,4,16,1
828184,2,1,2,1935,2,16,1
828184,2,2,2,1937,2,16,1
850013,4,1,2,1985,1,10,1
850013,4,2,1,1970,1,10,1
850013,4,3,2,2007,2,10,0
850013,4,4,1,2013,2,10,0
850016,3,1,2,1985,1,10,1
850016,3,2,1,1981,1,10,1
850016,3,3,2,2014,2,10,0
850030,3,1,2,1982,1,3,1
850030,3,2,1,1980,1,3,1
850030,3,3,1,2015,2,3,1
851025,6,1,1,1956,1,15,1
851025,6,2,2,1961,1,15,0
851025,6,3,2,1989,2,15,0
851025,6,4,2,1992,2,15,0
851025,6,5,2,1995,2,15,0
851025,6,6,2,1996,2,15,0
851151,2,1,1,1942,1,16,1
851151,2,2,2,1948,1,16,0
851172,4,1,1,1960,1,16,1
851172,4,2,2,1963,1,16,1
851172,4,3,1,2001,2,16,1
851172,4,4,1,2005,2,16,1
851493,2,1,1,1933,1,1,1
851493,2,2,2,1939,1,1,1
851504,2,1,1,1940,1,1,1
851504,2,2,2,1939,1,1,1
851514,4,1,2,1971,1,1,0
851514,4,2,1,1963,1,1,1
851514,4,3,2,1996,2,1,0
851514,4,4,1,2000,2,1,0
851627,1,1,1,1940,2,16,1
851672,2,1,1,1946,1,5,1
851672,2,2,2,1948,1,5,1
851693,1,1,2,1937,4,5,1
851699,2,1,1,1965,1,5,1
851699,2,2,2,1965,1,5,0
851703,4,1,1,1970,1,5,1
851703,4,2,2,1972,1,5,0
851703,4,3,2,1995,2,5,1
851703,4,4,2,2003,2,5,0
851846,2,1,1,1927,1,12,1
851846,2,2,2,1928,1,12,1
851865,1,1,2,1934,4,12,1
851874,3,1,1,1961,1,12,1
851874,3,2,2,1963,1,12,0
851874,3,3,2,1993,2,12,0
851937,1,1,2,1948,3,12,1
851968,4,1,2,1968,1,12,0
851968,4,2,1,1968,1,12,1
851968,4,3,2,1995,2,12,0
851968,4,4,2,1997,2,12,0
851982,1,1,1,1974,1,12,1
852021,2,1,1,1954,1,12,1
852021,2,2,2,1957,1,12,1
852058,3,1,1,1965,2,9,1
852058,3,2,2,1973,2,9,0
852058,3,3,2,2012,2,9,0
852070,4,1,1,1968,1,10,1
852070,4,2,2,1971,1,10,0
852070,4,3,1,1999,2,10,0
852070,4,4,2,2003,2,10,0
852074,1,1,2,1935,4,10,1
852115,2,1,2,1954,4,11,1
852115,2,2,1,1986,2,11,1
852120,3,1,2,1973,3,11,1
852120,3,2,1,2002,2,11,0
852120,3,3,1,2004,2,11,0
852130,2,1,1,1960,1,11,1
852130,2,2,2,1961,1,11,0
852134,3,1,2,1968,3,10,1
852134,3,2,1,2000,2,10,0
852134,3,3,2,2001,2,10,0
852140,4,1,2,1982,2,10,1
852140,4,2,1,1973,2,10,1
852140,4,3,2,2009,2,10,0
852140,4,4,2,2015,2,10,0
852204,2,1,1,1938,1,1,1
852204,2,2,2,1939,1,1,1
852283,6,1,2,1977,1,15,0
852283,6,2,1,1973,1,15,0
852283,6,3,2,1996,2,15,0
852283,6,4,1,2000,2,15,0
852283,6,5,2,1936,2,15,1
852283,6,6,2,2007,2,15,0
852304,4,1,2,1983,1,15,0
852304,4,2,1,1982,1,15,1
852304,4,3,2,2008,2,15,0
852304,4,4,1,2009,2,15,0
852321,4,1,2,1976,2,13,1
852321,4,2,1,1949,1,13,1
852321,4,3,2,1949,1,13,0
852321,4,4,2,1972,2,13,1
852330,1,1,2,1958,2,13,1
852332,4,1,2,1966,1,13,1
852332,4,2,1,1961,1,13,0
852332,4,3,2,1968,2,13,1
852332,4,4,1,2006,2,13,0
852554,1,1,1,1943,4,5,1
852573,6,1,1,1960,1,5,1
852573,6,2,2,1979,1,5,0
852573,6,3,2,2001,2,5,0
852573,6,4,1,2003,2,5,0
852573,6,5,1,2005,2,5,0
852573,6,6,2,2016,2,5,0
852574,3,1,1,1948,1,5,1
852574,3,2,2,1955,1,5,0
852574,3,3,2,1984,2,5,1
852595,1,1,2,1937,2,15,1
852658,1,1,1,1984,2,1,1
852762,2,1,1,1962,2,3,1
852762,2,2,2,1927,4,3,1
853073,2,1,2,1975,2,8,1
853073,2,2,2,1947,3,8,1
853175,1,1,2,1956,3,8,1
853279,1,1,1,1944,2,15,1
853296,2,1,1,1974,2,15,0
853296,2,2,2,1948,4,15,1
853318,3,1,2,1995,2,15,0
853318,3,2,1,1965,1,15,1
853318,3,3,2,1964,1,15,0
853352,2,1,1,1947,1,3,1
853352,2,2,2,1951,1,3,1
853354,3,1,2,1982,1,3,1
853354,3,2,1,1978,1,3,1
853354,3,3,1,2014,2,3,0
853565,1,1,2,1943,4,20,1
853569,4,1,1,1955,1,20,1
853569,4,2,2,1961,1,20,0
853569,4,3,2,1984,2,20,0
853569,4,4,1,1988,2,20,0
853617,2,1,2,1948,1,19,1
853617,2,2,1,1947,1,19,1
853765,1,1,2,1964,2,3,1
853801,1,1,2,1948,2,9,1
853849,1,1,1,1938,4,20,1
853854,1,1,2,1942,2,20,1
853875,2,1,2,1952,1,15,0
853875,2,2,1,1948,1,15,1
853911,4,1,1,1947,1,8,1
853911,4,2,2,1957,1,8,1
853911,4,3,1,1953,2,8,1
853911,4,4,2,1991,2,8,0
854058,3,1,1,1950,1,9,1
854058,3,2,2,1955,1,9,1
854058,3,3,1,1991,2,9,1
854070,2,1,2,1968,3,9,1
854070,2,2,2,1994,2,9,1
854074,2,1,1,1947,1,9,1
854074,2,2,2,1949,1,9,1
854078,2,1,1,1935,1,9,1
854078,2,2,2,1942,1,9,0
854081,2,1,1,1952,1,9,1
854081,2,2,2,1953,1,9,1
854108,2,1,2,1940,1,15,1
854108,2,2,1,1936,1,15,1
854112,1,1,1,1985,2,15,1
854163,2,1,1,1946,1,8,1
854163,2,2,2,1949,1,8,1
854188,2,1,2,1926,1,8,1
854188,2,2,1,1925,1,8,1
854197,2,1,2,1941,4,15,1
854197,2,2,1,1976,2,15,0
854223,3,1,2,1953,1,15,0
854223,3,2,1,1952,1,15,1
854223,3,3,1,1988,2,15,0
854306,2,1,1,1946,1,5,1
854306,2,2,2,1952,1,5,1
854346,3,1,1,1964,1,15,0
854346,3,2,2,1965,1,15,1
854346,3,3,2,1992,2,15,1
854352,1,1,2,1940,2,15,1
854385,2,1,2,1942,1,15,0
854385,2,2,1,1940,1,15,1
854393,2,1,2,1936,4,15,1
854393,2,2,1,1968,3,15,0
854406,2,1,2,1948,1,15,0
854406,2,2,1,1944,1,15,1
854435,3,1,1,1955,1,8,1
854435,3,2,2,1960,1,8,0
854435,3,3,1,1986,2,8,1
854460,1,1,2,1967,2,9,1
854501,4,1,2,1977,1,19,1
854501,4,2,1,1976,1,19,1
854501,4,3,1,2003,2,19,0
854501,4,4,1,2012,2,19,0
854534,2,1,1,1936,1,19,1
854534,2,2,2,1946,1,19,1
854535,3,1,2,1968,4,19,1
854535,3,2,1,1992,2,19,0
854535,3,3,2,1999,2,19,0
854554,1,1,2,1940,4,18,1
854559,3,1,1,1949,1,18,1
854559,3,2,2,1956,1,18,0
854559,3,3,1,1984,2,18,1
854592,1,1,2,1937,4,15,1
854593,4,1,1,1964,1,15,1
854593,4,2,2,1965,1,15,0
854593,4,3,2,1995,2,15,0
854593,4,4,1,2000,2,15,0
854714,2,1,1,1935,1,6,1
854714,2,2,2,1941,1,6,1
854730,3,1,1,1965,1,8,1
854730,3,2,2,1969,1,8,1
854730,3,3,2,1998,2,8,0
854762,1,1,1,1950,3,8,1
854858,4,1,1,1955,1,13,1
854858,4,2,2,1959,1,13,0
854858,4,3,1,1985,2,13,0
854858,4,4,2,1937,4,13,1
854862,4,1,1,1970,1,13,1
854862,4,2,2,1974,1,13,1
854862,4,3,1,2005,2,13,0
854862,4,4,2,2010,2,13,0
854970,1,1,1,1955,4,6,1
855004,1,1,1,1953,2,3,1
855035,3,1,2,1947,1,3,1
855035,3,2,1,1937,1,3,1
855035,3,3,2,1973,2,3,1
855088,1,1,2,1956,4,1,1
855111,4,1,2,1962,1,11,1
855111,4,2,1,1960,1,11,1
855111,4,3,1,1996,2,11,0
855111,4,4,1,2004,2,11,0
855135,3,1,2,1964,4,11,1
855135,3,2,1,1983,2,11,1
855135,3,3,1,1991,2,11,1
855181,2,1,1,1947,1,3,1
855181,2,2,2,1944,1,3,1
855238,2,1,2,1955,1,10,1
855238,2,2,1,1954,1,10,1
855259,2,1,1,1951,2,10,1
855259,2,2,1,1952,2,10,1
855268,1,1,2,1946,4,10,1
855295,1,1,2,1945,2,4,1
855308,2,1,1,1949,1,4,1
855308,2,2,2,1959,1,4,1
855344,2,1,2,1960,1,6,1
855344,2,2,1,1992,2,6,1
855371,3,1,2,1963,2,11,0
855371,3,2,1,1935,1,11,1
855371,3,3,2,1941,1,11,1
855376,3,1,2,1960,1,11,1
855376,3,2,1,1960,1,11,1
855376,3,3,2,1989,2,11,1
855396,5,1,2,1966,1,11,0
855396,5,2,1,1963,1,11,1
855396,5,3,1,1993,2,11,1
855396,5,4,2,1998,2,11,0
855396,5,5,1,1999,2,11,0
855402,7,1,2,1986,1,11,0
855402,7,2,1,1984,1,11,1
855402,7,3,2,2004,2,11,0
855402,7,4,2,2006,2,11,0
855402,7,5,1,2008,2,11,0
855402,7,6,2,2010,2,11,0
855402,7,7,1,2015,2,11,0
855417,2,1,1,1961,3,12,1
855417,2,2,2,1968,3,12,1
855468,2,1,2,1955,1,1,1
855468,2,2,1,1954,1,1,1
855534,2,1,1,1940,1,16,1
855534,2,2,2,1947,1,16,1
855681,2,1,1,1946,1,16,1
855681,2,2,2,1948,1,16,0
855685,2,1,1,1941,1,16,1
855685,2,2,2,1945,1,16,0
855780,4,1,1,1975,1,11,1
855780,4,2,2,1979,1,11,1
855780,4,3,2,2014,2,11,0
855780,4,4,2,2016,2,11,0
855790,2,1,2,1953,1,11,1
855790,2,2,1,1949,1,11,1
855792,2,1,2,1954,1,11,1
855792,2,2,1,1950,1,11,1
855809,2,1,2,1930,1,11,1
855809,2,2,1,1925,1,11,1
855839,4,1,1,1963,1,3,1
855839,4,2,2,1972,1,3,1
855839,4,3,1,1999,2,3,0
855839,4,4,1,2009,2,3,0
855991,2,1,1,1946,1,3,1
855991,2,2,2,1953,1,3,1
856128,2,1,2,1957,1,10,0
856128,2,2,1,1946,1,10,1
856134,3,1,2,1956,1,10,1
856134,3,2,1,1954,1,10,1
856134,3,3,1,1990,2,10,0
856150,2,1,1,1938,1,10,1
856150,2,2,2,1939,1,10,0
856177,2,1,1,1944,1,7,1
856177,2,2,2,1954,1,7,1
856218,4,1,2,1970,1,9,1
856218,4,2,1,1970,1,9,1
856218,4,3,1,2001,2,9,0
856218,4,4,2,2006,2,9,0
856297,4,1,1,1971,1,19,1
856297,4,2,2,1974,1,19,1
856297,4,3,1,2001,2,19,0
856297,4,4,1,2006,2,19,0
856322,1,1,2,1934,4,11,1
856327,1,1,2,1953,3,11,1
856328,3,1,2,1973,3,11,1
856328,3,2,2,2002,2,11,0
856328,3,3,2,2007,2,11,1
856363,2,1,2,1936,1,8,1
856363,2,2,1,1935,1,8,1
856374,2,1,2,1945,1,8,1
856374,2,2,1,1939,1,8,1
856430,1,1,1,1967,3,11,1
856674,2,1,1,1932,1,9,1
